case_id,tester,environment_or_build,artifact_link_or_path,screenshot_link,does_it_work,is_it_what_asked_for,result_label,bug_link,notes
CT-QA-001,,,,,,,,,
CT-QA-002,,,,,,,,,
CT-QA-003,,,,,,,,,
CT-QA-004,,,,,,,,,
CT-QA-005,,,,,,,,,
CT-QA-006,,,,,,,,,
CT-QA-007,,,,,,,,,
CT-QA-008,,,,,,,,,
CT-QA-009,,,,,,,,,
CT-QA-010,,,,,,,,,
